Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
354.0,Domantas Sabonis,29.0,SAC,C,19.0,15.0,564.0,19.2,0.59,0.122,0.348,12.3,31.0,21.3,21.3,1.5,0.6,16.7,23.1,0.7,0.4,1.1,0.094,0.7,-0.2,0.5,0.4,
355.0,Jordan Hawkins,23.0,NOP,SG,45.0,0.0,560.0,5.6,0.441,0.573,0.104,2.9,10.5,6.7,7.1,0.8,1.4,10.7,16.8,-0.7,0.1,-0.6,-0.048,-4.2,-2.9,-7.1,-0.7,
356.0,Drew Eubanks,28.0,SAC,C,42.0,11.0,552.0,13.6,0.605,0.045,0.365,7.6,18.3,12.8,5.0,1.3,4.3,14.2,16.3,0.3,0.3,0.6,0.052,-3.0,-0.8,-3.8,-0.2,
357.0,Rasheer Fleming,21.0,PHO,PF,48.0,0.0,549.0,10.8,0.515,0.613,0.162,10.2,12.1,11.1,2.8,1.4,3.3,8.9,15.7,0.2,0.6,0.8,0.071,-2.6,-1.0,-3.6,-0.2,
358.0,Dalen Terry,23.0,2TM,SG,47.0,0.0,546.0,11.6,0.522,0.429,0.188,5.0,11.5,8.2,16.2,2.5,2.4,13.5,14.8,0.2,0.6,0.7,0.063,-2.4,0.7,-1.7,0.0,
358.0,Dalen Terry,23.0,CHI,SG,34.0,0.0,377.0,11.6,0.539,0.451,0.167,5.5,12.5,9.0,15.0,2.7,2.5,16.1,14.5,0.1,0.4,0.5,0.06,-2.4,1.1,-1.3,0.1,
358.0,Dalen Terry,23.0,PHI,SG,13.0,0.0,169.0,11.4,0.489,0.385,0.231,3.8,9.2,6.5,18.7,2.0,2.2,8.0,15.5,0.1,0.1,0.2,0.068,-2.4,-0.2,-2.6,0.0,
359.0,Elijah Harkless,25.0,UTA,SG,26.0,9.0,545.0,9.1,0.471,0.547,0.398,2.0,8.7,5.3,17.8,2.7,1.1,12.1,16.3,-0.1,0.2,0.1,0.006,-5.0,-0.8,-5.8,-0.5,
360.0,Jase Richardson,20.0,ORL,SG,48.0,0.0,543.0,11.7,0.585,0.437,0.23,4.1,7.5,5.8,14.3,1.4,0.3,11.1,16.9,0.5,0.4,0.9,0.083,-1.6,-0.9,-2.5,-0.1,
361.0,Pete Nance,25.0,MIL,PF,40.0,2.0,542.0,12.1,0.668,0.594,0.043,4.4,15.3,9.9,8.6,0.8,1.8,11.3,13.0,0.7,0.3,0.9,0.083,-0.8,-1.2,-2.0,0.0,
